Test,Status,Cycles
add_1,pass,17
add_2,pass,17
add_3,pass,17
add_4,pass,17
add_5,pass,17
add_6,pass,17
add_7,pass,17
add_8,pass,17
and_1,pass,17
and_2,pass,17
and_3,pass,17
and_4,pass,17
and_5,pass,17
and_6,pass,17
and_7,pass,17
and_8,pass,17
clz_1,compilation failed,
clz_2,compilation failed,
clz_3,compilation failed,
clz_4,compilation failed,
clz_5,compilation failed,
clz_6,compilation failed,
clz_7,compilation failed,
clz_8,compilation failed,
ctz_1,compilation failed,
ctz_2,compilation failed,
ctz_3,compilation failed,
ctz_4,compilation failed,
ctz_5,compilation failed,
ctz_6,compilation failed,
div_s_1,pass,29
div_s_10,runtime error,
div_s_11,pass,29
div_s_12,runtime error,
div_s_13,runtime error,
div_s_14,runtime error,
div_s_15,pass,29
div_s_16,pass,29
div_s_2,pass,29
div_s_3,pass,29
div_s_4,pass,29
div_s_5,runtime error,
div_s_6,runtime error,
div_s_7,pass,29
div_s_8,runtime error,
div_s_9,runtime error,
div_u_1,compilation failed,
div_u_10,compilation failed,
div_u_11,compilation failed,
div_u_12,compilation failed,
div_u_13,compilation failed,
div_u_14,compilation failed,
div_u_2,compilation failed,
div_u_3,compilation failed,
div_u_4,compilation failed,
div_u_5,compilation failed,
div_u_6,compilation failed,
div_u_7,compilation failed,
div_u_8,compilation failed,
div_u_9,compilation failed,
eq_1,pass,25
eq_10,pass,25
eq_11,pass,25
eq_12,pass,25
eq_13,pass,25
eq_14,pass,25
eq_2,pass,25
eq_3,pass,25
eq_4,pass,25
eq_5,pass,25
eq_6,pass,25
eq_7,pass,25
eq_8,pass,25
eq_9,pass,25
eqz_1,pass,25
eqz_2,pass,25
eqz_3,pass,25
eqz_4,pass,25
eqz_5,pass,25
extend16_s_1,pass,15
extend16_s_2,pass,15
extend16_s_3,runtime error,
extend16_s_4,runtime error,
extend16_s_5,runtime error,
extend16_s_6,runtime error,
extend16_s_7,pass,15
extend8_s_1,pass,15
extend8_s_2,pass,15
extend8_s_3,runtime error,
extend8_s_4,runtime error,
extend8_s_5,runtime error,
extend8_s_6,runtime error,
extend8_s_7,pass,15
ge_s_1,compilation failed,
ge_s_10,compilation failed,
ge_s_11,compilation failed,
ge_s_12,compilation failed,
ge_s_13,compilation failed,
ge_s_14,compilation failed,
ge_s_2,compilation failed,
ge_s_3,compilation failed,
