Test,Status,Cycles
_should_fail_unreachable,runtime error,
add,pass,20
add_func,pass,31
and,pass,18
counter,pass,124
div,pass,27
eqz,pass,27
fibonacci,pass,224
global,pass,28
i32_add_overflows,pass,20
i32_const,pass,16
i32_mul_overflows,pass,26
i64_const,pass,16
i64_div,pass,37
i64_mul,pass,44
i64_mul_overflows,pass,24
i64_rem,pass,37
locals,pass,20
locals_simple,pass,16
lt_s,pass,55
lt_u,pass,27
memory,pass,54
memory_i32,pass,237
mul,pass,26
ne,pass,29
nop,pass,16
or,pass,18
rem,pass,37
xor,pass,18
